experiment,experiment_label,model,optimizer,seed,total_trainings,total_runtime_minutes,best_fitness,trainings_to_95pct_final_best,minutes_to_95pct_final_best
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,de,1,1000,5.247698940836199,0.6626265717312663,772,3.917244255013793
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,de,2,1000,6.369392676689313,0.6965414320614833,25,0.12059980661676187
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,de,3,1000,4.333740972544062,0.654194130046519,47,0.1808249029500075
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,ga,1,1000,9.180455497197848,0.6467103610280862,3,0.048343741116635405
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,ga,2,1000,7.205044068859509,0.6903651852292462,780,5.657501144000283
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,ga,3,1000,3.8704317698122397,0.6452048488432973,3,0.009764089183287675
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,gwo,1,1000,5.502617168915943,0.6652171614566236,96,0.38475562711652544
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,gwo,3,1000,6.277373606350253,0.6999070708707582,137,0.6678971456831276
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,pso,1,1000,7.1940220863509845,0.6543490781017165,17,0.1481735802335
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,pso,2,1000,9.87842875011732,0.7018773389903025,46,0.40919467909995244
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,pso,3,1000,8.287795318816098,0.7023644320319996,65,0.3449580637168158
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,random_search,1,1000,3.9801429714000425,0.6911399696206523,441,1.7512786104836775
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,random_search,2,1000,4.256259928482723,0.6870879243085295,316,1.2215351901164466
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,random_search,3,1000,4.880679101666221,0.6841003840467765,314,2.0879332383160847
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,de,1,1000,10.842107295928994,0.6546873940600375,98,0.9611501588500687
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,de,2,1000,5.958259225618531,0.6548131021208744,2,0.015787987983276252
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,de,3,1000,5.298916619267887,0.6551153148727613,486,3.059521220133562
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,ga,1,1000,16.423207023842647,0.6546576921636319,4,0.03621539956693596
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,ga,2,1000,4.87331514227529,0.6544366689424059,242,1.4124209779957406
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,ga,3,1000,8.384574631832583,0.6545544963741732,418,2.5967061392252315
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,gwo,1,1000,7.6575664430838515,0.6560081227709708,560,4.3223602721822925
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,gwo,2,1000,4.635656791283205,0.6555803489534976,2,0.015620888133344123
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,gwo,3,1000,5.120338610566372,0.6548866658505238,8,0.054708816533093334
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,pso,1,1000,6.518158386169186,0.6557501443036001,339,1.9837625399024543
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,pso,2,1000,6.02703395898158,0.6548497596296469,2,0.01584465729999162
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,pso,3,1000,6.131433561630911,0.6548866658505238,8,0.0581423763497393
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,random_search,1,1000,8.17022394886626,0.6559051156401046,370,2.954462845815942
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,random_search,2,1000,7.953469337800925,0.6545253274314633,1000,7.953469337800925
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,random_search,3,1000,7.949511252265074,0.655145281408788,764,6.048594054498972
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,de,1,1000,2.8528947333688692,0.660082290664614,54,0.18378971018332774
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,de,2,1000,2.06451154216852,0.6606874990565649,82,0.21698198475002445
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,de,3,1000,3.3346978308333437,0.6609899200991202,265,1.2345571940833602
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,ga,1,1000,4.267629702447136,0.659307501333251,19,0.1043079070166944
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,ga,2,1000,1.890311699567958,0.6598312727275965,9,0.040747433283316536
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,ga,3,1000,2.8316971327676876,0.6604290795310249,4,0.02903846554999442
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,gwo,1,1000,2.9652241393333036,0.6628868046210763,829,2.5482447074500967
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,gwo,2,1000,3.279032899799782,0.6608866250570903,151,0.5758395179500286
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,gwo,3,1000,3.1573796235336578,0.6616024798392716,534,1.8365274791168604
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,pso,1,1000,2.3758585377833614,0.660606196822303,264,0.5806323803999853
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,pso,2,1000,2.0392499146835075,0.6612556738026256,37,0.09526669309993846
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,pso,3,1000,2.6806316656836007,0.6608866054510514,70,0.24893708055001296
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,random_search,1,1000,4.2603638015166245,0.6608129253205646,321,1.2568236876000278
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,random_search,2,1000,4.072964466033264,0.660399681487945,15,0.056507523733337915
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,random_search,3,1000,4.30165781076674,0.6614477228890474,4,0.02581960776666013
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,de,1,1000,577.0982218497128,0.771703822750745,28,7.615616574750068
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,de,2,1000,577.0148849272547,0.7718737271365033,51,13.962867508999988
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,de,3,1000,540.7078739863919,0.7720433521644822,34,11.662358950516621
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,ga,1,1000,231.28189281128138,0.7692388982395636,508,119.38749909956331
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,ga,2,1000,151.30668349176358,0.7711577143039755,37,10.038008943617024
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,ga,3,1000,352.9936782278703,0.7698153383678493,2,0.811799444416647
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,gwo,1,1000,382.201509093851,0.7728773615016721,11,2.638198422466606
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,gwo,2,1000,479.5226486755175,0.7724861226973361,65,22.231009912500305
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,gwo,3,1000,436.2734743214356,0.7731725990465449,40,13.961202419666613
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,pso,1,1000,682.4724036884611,0.770936287989871,40,14.264708671716713
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,pso,2,1000,191.33027340228156,0.7720212699360474,71,11.879481970383313
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,pso,3,1000,545.0872677943007,0.7698661165647658,21,7.127269375166786
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,random_search,1,1000,235.49230272413303,0.7705156376637613,86,21.88723836428347
