experiment,experiment_label,model,optimizer,seed_count_best,accuracy_test_mean,accuracy_test_std,mcc_test_mean,mcc_test_std,f1_test_mean,f1_test_std,seed_count_runs,total_trainings_median,total_runtime_minutes_median,trainings_to_95pct_final_best_median,minutes_to_95pct_final_best_median,best_fitness_mean
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,de,3,0.6004869411243914,0.0006911241698094725,0.20008833714531102,0.0013893073893496747,0.6214346974507706,0.00046443901753305636,3,1000.0,226.23450147634892,42.0,4.2178042701333345,0.7697407099116881
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,ga,3,0.6107791057990261,0.0022106003049400355,0.22076061286916407,0.0044386221344376075,0.6305296885445794,0.0016794301928959284,3,1000.0,65.21417058028592,32.0,3.941707323083392,0.7675711871515509
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,gwo,3,0.6023683045595396,0.005904967495331602,0.20387813353542417,0.011863531242344821,0.6219897244384699,0.005321362589299574,3,1000.0,156.51240576428347,42.0,5.202524671616811,0.7710691281011516
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,pso,3,0.6043603364320496,0.0034873730094264533,0.20787696586312074,0.007003240434526967,0.624039338273665,0.003240866996483815,3,1000.0,184.02327945555032,43.0,7.079993730716629,0.7699252496093273
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,rf,random_search,3,0.6043603364320496,0.003325581939202458,0.20787320028496004,0.006677680424453994,0.6241198081589165,0.0030921540276971212,3,1000.0,91.08769704175005,29.0,5.317194469633334,0.7685598823059453
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,de,3,0.5841080123948649,0.04303451437951777,0.16725883090615482,0.0865794940314614,0.6241379450755161,0.028543437096249714,3,1000.0,5.247698940836199,47.0,0.1808249029500075,0.6711207112797561
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,ga,3,0.5565515714918104,0.030433015402452055,0.12389829099606146,0.05437839497405851,0.499878280454936,0.11510541815406344,3,1000.0,7.205044068859509,3.0,0.048343741116635405,0.66076013170021
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,gwo,3,0.5931828242585215,0.03576782665753375,0.18554942569068308,0.07193498443168504,0.62292408159193,0.031726383990823614,2,1000.0,5.889995387633098,116.5,0.5263263863998265,0.6825621161636909
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,pso,3,0.5709384683488269,0.0036570853567636764,0.1453376733955072,0.012769065552865177,0.6271609227058647,0.030901192482384654,3,1000.0,8.287795318816098,46.0,0.3449580637168158,0.6861969497080063
exp2_holdout_accuracy,Experimento 2 - Holdout + Accuracy,svm,random_search,3,0.5876494023904383,0.006900600826967633,0.17491594140975683,0.014021596328995623,0.6272456491260257,0.006062572838359028,3,1000.0,4.256259928482723,316.0,1.7512786104836775,0.6874427593253194
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,de,3,0.6333554670208056,0.0022106003049400355,0.2662076209416793,0.004391673271713812,0.6439483330982781,0.0030602963309366168,3,1000.0,5.958259225618531,98.0,0.9611501588500687,0.6548719370178911
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,ga,3,0.6364541832669323,0.0033694859113851962,0.2725638355587263,0.006940094955360292,0.65371076993903,0.010573950181800603,3,1000.0,8.384574631832583,242.0,1.4124209779957406,0.6545496191600703
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,gwo,3,0.6312527667109341,0.0012569518250996612,0.2620625351089786,0.002617083072200363,0.6407905452898027,0.0009000361689255067,3,1000.0,5.120338610566372,8.0,0.054708816533093334,0.6554917125249974
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,pso,3,0.6340194776449756,0.002535732456261529,0.26771686669225614,0.0051677913601909245,0.6416741159046945,0.001611450602052224,3,1000.0,6.131433561630911,8.0,0.0581423763497393,0.6551621899279235
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,cnn,random_search,3,0.6343514829570607,0.0008355283792906975,0.26813093214724043,0.0015900409688751165,0.6476600116472658,0.0040407967525294694,3,1000.0,7.953469337800925,764.0,6.048594054498972,0.6551919081601186
