model_type,optimizer,mcc_f1_accuracy_test_mean,mcc_f1_accuracy_test_std,accuracy_cv_accuracy_test_mean,accuracy_cv_accuracy_test_std,delta_accuracy_cv_minus_mcc_f1_accuracy_test_mean,winner_accuracy_test,mcc_f1_balanced_accuracy_test_mean,mcc_f1_balanced_accuracy_test_std,accuracy_cv_balanced_accuracy_test_mean,accuracy_cv_balanced_accuracy_test_std,delta_accuracy_cv_minus_mcc_f1_balanced_accuracy_test_mean,winner_balanced_accuracy_test,mcc_f1_mcc_test_mean,mcc_f1_mcc_test_std,accuracy_cv_mcc_test_mean,accuracy_cv_mcc_test_std,delta_accuracy_cv_minus_mcc_f1_mcc_test_mean,winner_mcc_test,mcc_f1_f1_test_mean,mcc_f1_f1_test_std,accuracy_cv_f1_test_mean,accuracy_cv_f1_test_std,delta_accuracy_cv_minus_mcc_f1_f1_test_mean,winner_f1_test,mcc_f1_auc_roc_test_mean,mcc_f1_auc_roc_test_std,accuracy_cv_auc_roc_test_mean,accuracy_cv_auc_roc_test_std,delta_accuracy_cv_minus_mcc_f1_auc_roc_test_mean,winner_auc_roc_test,mcc_f1_auc_pr_test_mean,mcc_f1_auc_pr_test_std,accuracy_cv_auc_pr_test_mean,accuracy_cv_auc_pr_test_std,delta_accuracy_cv_minus_mcc_f1_auc_pr_test_mean,winner_auc_pr_test,mcc_f1_best_validation_fitness_mean,mcc_f1_best_validation_fitness_std,accuracy_cv_best_validation_fitness_mean,accuracy_cv_best_validation_fitness_std,delta_accuracy_cv_minus_mcc_f1_best_validation_fitness_mean,winner_best_validation_fitness
rf,de,0.6460823373173971,0.002875250344569847,0.6050243470562195,0.0013417834941325975,-0.04105799026117751,MCC/F1,0.6454223537601897,0.003249358383783526,0.6042276175332661,0.0012542969448455887,-0.0411947362269236,MCC/F1,0.2917295392155801,0.005558782701212186,0.20921307854146617,0.0026841858690227977,-0.08251646067411392,MCC/F1,0.6618303751714704,0.0034984535489858927,0.6248994710376325,0.0029194106442687667,-0.036930904133837816,MCC/F1,0.6866221623342206,0.0011997143661411896,0.6443200371678072,0.0006584130806386896,-0.04230212516641341,MCC/F1,0.6587382073867084,0.002304947930215455,0.6356465823808716,0.0007616940271009076,-0.023091625005836836,MCC/F1,0.4222989150593239,0.002238281081082887,0.7718736340172434,0.00016976472602278506,0.34957471895791953,Accuracy-CV
rf,ga,0.6465250110668438,0.0031555062924708364,0.6081230633023461,0.003550025438766129,-0.03840194776449768,MCC/F1,0.6454302930860968,0.003293592192890395,0.6073786477710711,0.003466262970852602,-0.038051645315025695,MCC/F1,0.29291234240283975,0.0061261549237998205,0.21544261410041057,0.007104103115213936,-0.07746972830242918,MCC/F1,0.6694296562184437,0.0008538142674273919,0.6268955610541428,0.004972523639672504,-0.042534095164300956,MCC/F1,0.6860781714850289,0.0011499402800491728,0.6421766397097147,0.0053277158414028235,-0.043901531775314195,MCC/F1,0.6614461935878719,0.0016004144915623393,0.6325950297129976,0.0048922465004931906,-0.028851163874874297,MCC/F1,0.4175247898135683,0.002062290509298522,0.7700706503037962,0.0009845567077314513,0.3525458604902279,Accuracy-CV
rf,gwo,0.6443116423196105,0.0018285426783818451,0.6077910579902612,0.002259913441418993,-0.03652058432934924,MCC/F1,0.643224630729455,0.0017437639880808213,0.6069164760860888,0.0022958509774661964,-0.03630815464336623,MCC/F1,0.2884363804083878,0.003828721098520232,0.21476815170223895,0.004539205292605252,-0.07366822870614886,MCC/F1,0.6672101794901687,0.0030987030243347083,0.6289764113375828,0.0020606595149154435,-0.038233768152585945,MCC/F1,0.6864413956452798,0.0008937990453571573,0.6449195297860719,0.004118269379329571,-0.04152186585920792,MCC/F1,0.6591944023698594,0.0007971546184011819,0.6359114714256663,0.0029595274949744486,-0.023282930944193092,MCC/F1,0.4232428200376057,0.002157345435626625,0.772845361081851,0.00034435514321310475,0.34960254104424526,Accuracy-CV
rf,pso,0.6466356795042053,0.0007667334252186419,0.603585657370518,0.00033200531208499307,-0.04305002213368736,MCC/F1,0.6460206701820237,0.0011650838943348136,0.6027862623197388,0.0004152708523087467,-0.04323440786228494,MCC/F1,0.29286543193480913,0.0013566495275802492,0.20632129332341057,0.0006774765700818248,-0.08654413861139856,MCC/F1,0.6615704316836277,0.0060211905944813375,0.6235779829760227,0.0012274649811056138,-0.03799244870760499,MCC/F1,0.6871146210772929,0.0005200260963220115,0.6399777404825493,0.0042023946970381225,-0.047136880594743635,MCC/F1,0.6598243110200549,0.0023795809425904324,0.6317154950571354,0.004902701564912185,-0.028108815962919476,MCC/F1,0.42153982243978777,0.0011772966461218342,0.770941224830228,0.0010775851672749888,0.3494014023904402,Accuracy-CV
rf,random_search,0.6404382470119522,0.007849661631830596,0.6081230633023461,0.0008355283792906847,-0.032315183709606066,MCC/F1,0.6394158861500664,0.007687213968448856,0.6072976372419076,0.0008342486033490602,-0.03211824890815884,MCC/F1,0.2805820291260706,0.015969899112852844,0.2154272260361736,0.0016783644220332932,-0.06515480308989702,MCC/F1,0.6624556010014145,0.010179157965727492,0.6283973729378052,0.000857674714895772,-0.034058228063609364,MCC/F1,0.682189225011523,0.00885618302598525,0.6425264111232897,0.0021868168623024676,-0.03966281388823334,MCC/F1,0.6566679090221922,0.004166157329191529,0.6334889580901363,0.0025812024278657753,-0.02317895093205591,MCC/F1,0.42013536191468287,0.0009966250960544822,0.7701121564177494,0.0003494250092116358,0.34997679450306657,Accuracy-CV
svm,de,0.5976095617529881,0.07682964474671783,0.6103364320495794,0.052501297974325796,0.012726870296591364,Accuracy-CV,0.5932648051887905,0.08143311598901287,0.6086804031707315,0.05277853805687051,0.01541559798194092,Accuracy-CV,0.18700833283179744,0.1709981783363363,0.22048444829433697,0.10646069256054493,0.033476115462539535,Accuracy-CV,0.6746357658333623,0.0037676299549243525,0.6453673323127364,0.04322664575454953,-0.029268433520625914,MCC/F1,0.5656591073992312,0.2288974342168864,0.6516061329822387,0.07294743366059744,0.08594702558300749,Accuracy-CV,0.5858569468956751,0.16848781505113392,0.6422887502648209,0.06131059343205942,0.05643180336914577,Accuracy-CV,0.43739775365982725,0.010559496285925216,0.671069130213863,0.025610990600920785,0.2336713765540358,Accuracy-CV
svm,ga,0.6440903054448871,0.001756806979458558,0.6093404161133246,0.02216575808480642,-0.03474988933156253,MCC/F1,0.6423636549421937,0.0013945608318221732,0.607792742426949,0.022324420031594266,-0.03457091251524469,MCC/F1,0.28984121981688793,0.004794955592914124,0.2184841235836187,0.04464012660722057,-0.07135709623326922,MCC/F1,0.676957956706255,0.00731750641021964,0.6423586120118748,0.017870653224773943,-0.034599344694380196,MCC/F1,0.6992759040723596,0.0021441552743523096,0.6457785942541334,0.029632647172507496,-0.0534973098182262,MCC/F1,0.6806596880605763,0.0035437448999354423,0.6329370756685401,0.029302964592479504,-0.047722612392036234,MCC/F1,0.42815615508107446,0.0007133535318493605,0.6806644423133045,0.01721562389809826,0.25250828723223,Accuracy-CV
svm,gwo,0.6126604692341745,0.03569378800989405,0.5637450199203187,0.00917080167127041,-0.04891544931385583,MCC/F1,0.6135784526694881,0.033712769010520845,0.5616432052234884,0.008902023566634857,-0.051935247445999644,MCC/F1,0.2315902875884465,0.06578055654374618,0.12653029104134658,0.019071152785598688,-0.10505999654709991,MCC/F1,0.5918663088496402,0.0826845337158864,0.6103252087551181,0.014010556655326585,0.018458899905477888,Accuracy-CV,0.6590040409698621,0.040739113325508745,0.5900615077220971,0.006531288095171598,-0.068942533247765,MCC/F1,0.6381539004948811,0.041728738298409986,0.5859939808907041,0.002587982660078755,-0.052159919604176985,MCC/F1,0.44720271996527106,0.009331334819560331,0.7009015616018561,0.0004563436736632548,0.25369884163658507,Accuracy-CV
svm,pso,0.6073483842408145,0.061114534081002404,0.5667330677290837,0.008057543890778026,-0.04061531651173078,MCC/F1,0.6115730377551704,0.05771612381897512,0.5648050417660001,0.008218855541463942,-0.04676799598917025,MCC/F1,0.2545363441703519,0.08396351168541807,0.1323188849789189,0.01629758737054977,-0.12221745919143304,MCC/F1,0.4720572981199025,0.21286106888396494,0.6100332226851369,0.004993368815117991,0.13797592456523444,Accuracy-CV,0.6960020348198249,0.012748556835076042,0.5910684788913173,0.004735962787264129,-0.10493355592850762,MCC/F1,0.6806650148604008,0.012880322328934272,0.5877162969388738,0.003032502889859389,-0.09294871792152692,MCC/F1,0.44572385846789286,0.0030418431580314814,0.7016618536538469,0.00033001247306626696,0.25593799518595406,Accuracy-CV
svm,random_search,0.5561088977423639,0.09076505472557211,0.5944001770694998,0.004792083907616427,0.03829127932713583,Accuracy-CV,0.5538869983981675,0.09384914352413148,0.5925890068270853,0.00477786528623724,0.0387020084289178,Accuracy-CV,0.10494421143510567,0.22432660870191967,0.18866147198086822,0.009792414983930544,0.08371726054576255,Accuracy-CV,0.5927814513654268,0.10403162427707265,0.6330809033101268,0.005369984966102657,0.04029945194469997,Accuracy-CV,0.4598272314467877,0.2085480460922241,0.6243798320538522,0.004521677651810254,0.16455260060706445,Accuracy-CV,0.4983289092164472,0.1563706561069122,0.6115373906947322,0.002356452398552254,0.11320848147828505,Accuracy-CV,0.4413750311060857,0.006744642239457843,0.6917376912395596,0.0029319914167348295,0.2503626601334739,Accuracy-CV
