model_type,optimizer,seed,runtime_seconds_test,model_backend,official_experiment,fitness_formula,decoded_hyperparameters,accuracy_test,balanced_accuracy_test,precision_test,recall_test,f1_test,mcc_test,auc_roc_test,auc_pr_test,confusion_matrix_test,best_validation_fitness,worst_validation_fitness,source_file,fitness_mode,fitness_mode_label
mlp,de,2,0.1226024100001268,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 414, ""learning_rate"": 0.00037653929065495405, ""l2_alpha"": 1.2899451586029406e-08, ""dropout_rate"": 0.06313011880237444, ""batch_size"": 64}",0.651394422310757,0.65113719816778,0.6559485530546624,0.6644951140065146,0.6601941747572816,0.3023784437472719,0.693955747079541,0.6729367692290114,"[[942, 535], [515, 1020]]",0.428973791330185,0.148573708146301,outputs/article_official/metrics/mlp_de_best_by_seed.csv,mcc_f1,MCC/F1
mlp,de,3,0.1344196640002337,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 453, ""learning_rate"": 0.0006172200854636115, ""l2_alpha"": 1e-08, ""dropout_rate"": 0.1, ""batch_size"": 64}",0.651062416998672,0.650990541175329,0.6585845347313237,0.6547231270358306,0.6566481541979745,0.3019517169382406,0.694568398395374,0.6746442808113771,"[[956, 521], [530, 1005]]",0.6609899200991202,0.5360863509547993,outputs/article_official_accuracy/metrics/mlp_de_best_by_seed.csv,accuracy_cv,Accuracy-CV
mlp,de,3,0.1234744380001302,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 500, ""learning_rate"": 0.00042445727175386143, ""l2_alpha"": 1.265435491464955e-05, ""dropout_rate"": 0.09925659246478984, ""batch_size"": 64}",0.651394422310757,0.651226736121066,0.6573653471771577,0.6599348534201954,0.6586475942782835,0.3024790891142728,0.694308164935085,0.6740263767677228,"[[949, 528], [522, 1013]]",0.4271463850311338,0.0380522707946583,outputs/article_official/metrics/mlp_de_best_by_seed.csv,mcc_f1,MCC/F1
mlp,ga,1,0.2175695049995738,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 376, ""learning_rate"": 0.000223223361907672, ""l2_alpha"": 1.7675069627240862e-05, ""dropout_rate"": 0.045349788948065156, ""batch_size"": 32}",0.647742363877822,0.6472727312824879,0.6492443324937027,0.6716612377850163,0.6602625680435479,0.2949283565232774,0.6916925981223495,0.6701524927152205,"[[920, 557], [504, 1031]]",0.659307501333251,0.5481957763388918,outputs/article_official_accuracy/metrics/mlp_ga_best_by_seed.csv,accuracy_cv,Accuracy-CV
mlp,ga,1,0.1446886969999923,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 410, ""learning_rate"": 0.0003415263115510639, ""l2_alpha"": 1.662384359013523e-07, ""dropout_rate"": 0.05669551217723297, ""batch_size"": 112}",0.6454183266932271,0.64482631621894,0.6453018046048538,0.6755700325732898,0.66008911521324,0.2902523982840326,0.6921301431945643,0.6708720234806255,"[[907, 570], [498, 1037]]",0.4239886294505813,0.0741382870944063,outputs/article_official/metrics/mlp_ga_best_by_seed.csv,mcc_f1,MCC/F1
mlp,ga,2,0.0815801410003587,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 204, ""learning_rate"": 0.0012457128422638515, ""l2_alpha"": 7.355591719638301e-05, ""dropout_rate"": 0.04133339367818214, ""batch_size"": 112}",0.649070385126162,0.6487931121937018,0.6534017971758665,0.6631921824104234,0.6582605884254769,0.2977085661011455,0.69312123571197,0.6742171845970764,"[[937, 540], [517, 1018]]",0.6598312727275965,0.3841381756187178,outputs/article_official_accuracy/metrics/mlp_ga_best_by_seed.csv,accuracy_cv,Accuracy-CV
mlp,ga,2,0.0860266500000079,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 429, ""learning_rate"": 0.0004240093999276384, ""l2_alpha"": 7.355591719638301e-05, ""dropout_rate"": 0.069375884220223, ""batch_size"": 112}",0.646746347941567,0.6462187857683173,0.6474639949906074,0.6736156351791531,0.6602809706257982,0.2929185855471185,0.6930700711672353,0.6713206413821386,"[[914, 563], [501, 1034]]",0.426345069393002,0.0728207920726562,outputs/article_official/metrics/mlp_ga_best_by_seed.csv,mcc_f1,MCC/F1
mlp,ga,3,0.0968688409998321,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 299, ""learning_rate"": 0.0005424430193454346, ""l2_alpha"": 1.672694573302307e-06, ""dropout_rate"": 0.014961599242727174, ""batch_size"": 80}",0.650066401062417,0.6498726399802399,0.655663430420712,0.6599348534201954,0.6577922077922078,0.2997902413890682,0.6929827385822569,0.6739364702268434,"[[945, 532], [522, 1013]]",0.6604290795310249,0.3541168046461114,outputs/article_official_accuracy/metrics/mlp_ga_best_by_seed.csv,accuracy_cv,Accuracy-CV
mlp,ga,3,0.1076986430000488,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 54, ""learning_rate"": 0.00035984411496518863, ""l2_alpha"": 4.0480119301726645e-05, ""dropout_rate"": 0.009085271350425783, ""batch_size"": 64}",0.6444223107569721,0.6438874909304229,0.6451814768460575,0.6716612377850163,0.6581551228854133,0.2882599988465904,0.6865836419011156,0.6651436446959518,"[[910, 567], [504, 1031]]",0.4308931815649963,0.0189384448662418,outputs/article_official/metrics/mlp_ga_best_by_seed.csv,mcc_f1,MCC/F1
mlp,gwo,1,0.110097926999515,cuda,True,0.6 * MCC + 0.4 * F1,"{""hidden_neurons"": 13, ""learning_rate"": 0.0021248747586502816, ""l2_alpha"": 2.967216487064617e-08, ""dropout_rate"": 0.052410263060963365, ""batch_size"": 64}",0.6527224435590969,0.6525552499895244,0.6586632057105776,0.6612377850162866,0.6599479843953185,0.3051363418932082,0.6954915655689078,0.6768565001238986,"[[951, 526], [520, 1015]]",0.6628868046210763,0.3458807402531956,outputs/article_official_accuracy/metrics/mlp_gwo_best_by_seed.csv,accuracy_cv,Accuracy-CV
