experiment,experiment_label,model,optimizer,n,total_profit_mean,total_profit_std,win_rate_mean,profit_factor_mean,max_drawdown_mean,sharpe_mean,total_trades_mean
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,de,3,2006.6666666666667,129.45398152754257,0.42782907531854814,1.12853680997548,-2753.3333333333335,1.4980129682552983,515.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,de,3,1880.0,273.3587386567329,0.4258039068282485,1.1193475234531707,-2841.6666666666665,1.4014570781177795,516.6666666666666
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,ga,3,1698.3333333333333,385.69201875762656,0.42078960107153157,1.108158297281186,-2656.6666666666665,1.2617694745371657,515.6666666666666
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,ga,3,611.6666666666666,1716.219197344364,0.421884742722169,1.017716902179643,-2673.3333333333335,0.3900009492239469,439.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,random_search,3,486.6666666666667,634.1595487993012,0.4173076923076923,1.030957301706195,-2553.3333333333335,0.400900363003643,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,de,3,466.6666666666667,102.02123961868595,0.4185897435897436,1.028636214777582,-2705.0,0.39119233931097847,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,3,321.6666666666667,1582.7849927685484,0.44258534128105104,1.0951165452917884,-2310.0,0.5783851942963317,338.3333333333333
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,random_search,3,311.6666666666667,951.6082877599024,0.40022035256410254,1.0210568466599874,-2896.6666666666665,0.21887952687519227,517.3333333333334
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,pso,3,138.33333333333334,430.9969064080778,0.3942307692307692,1.0082500945483186,-3253.3333333333335,0.12036840014068555,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,ga,3,101.66666666666667,105.63301251660549,0.3974358974358974,1.006001937200233,-3078.3333333333335,0.09269930635973489,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,de,3,96.66666666666667,77.51343969488991,0.39615384615384613,1.0056705351629789,-3286.6666666666665,0.08604031300109131,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,de,3,66.66666666666667,144.94251734164595,0.3955128205128205,1.0039321754266308,-3370.0,0.05840660884694985,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,ga,3,58.333333333333336,231.8584338197197,0.39487179487179486,1.003347737158203,-3171.6666666666665,0.050100166618329146,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,random_search,3,53.333333333333336,404.14518843273805,0.39615384615384613,1.0032929514125506,-3145.0,0.05116295919710068,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,ga,3,6.666666666666667,302.58607590788665,0.39935897435897433,1.000348217805102,-2953.3333333333335,0.004788208747980176,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,pso,3,-8.333333333333334,102.75375094532235,0.39294871794871794,0.9995226997242502,-3408.3333333333335,-0.006935702241205405,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,gwo,3,-23.333333333333332,93.58596760910972,0.39294871794871794,0.998644603052568,-3383.3333333333335,-0.023238221355004186,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,pso,3,-65.0,135.92277219068185,0.3942307692307692,0.9962333891219163,-3260.0,-0.057813378215932104,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,de,3,-68.33333333333333,99.28914005737654,0.39294871794871794,0.9960190198239912,-3348.3333333333335,-0.06066346417977821,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,random_search,3,-68.33333333333333,305.4641277357021,0.3942307692307692,0.9962106514203805,-3036.6666666666665,-0.060872345516295924,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,gwo,3,-86.66666666666667,1439.8466353516035,0.41474358974358977,0.9981450627865932,-2866.6666666666665,-0.1337231051776109,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,gwo,3,-136.66666666666666,96.73847907287633,0.391025641025641,0.9920467909859787,-3323.3333333333335,-0.12182889963705486,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,gwo,3,-143.33333333333334,210.01984033260604,0.38974358974358975,0.9916736163032346,-3300.0,-0.1284945495339301,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,pso,3,-190.0,1034.2509366686597,0.4121794871794872,0.9900419009658442,-2703.3333333333335,-0.19985652509932816,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,pso,3,-200.0,345.9768778401239,0.38974358974358975,0.9884609731282467,-3240.0,-0.17257686556857318,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,pso,3,-310.0,925.9994600430391,0.4102564102564103,0.9827453608511775,-2813.3333333333335,-0.31704989975618253,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,de,3,-316.6666666666667,255.0653511030719,0.3903846153846154,0.9815255036270436,-3270.0,-0.2794509706664227,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,ga,3,-408.3333333333333,825.8530942808977,0.4057692307692308,0.9764197894195306,-2803.3333333333335,-0.38068955362678164,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,random_search,3,-430.0,397.8379066906521,0.40961538461538466,0.9742589607678066,-2811.6666666666665,-0.3828973419159544,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,gwo,3,-453.3333333333333,340.085773494472,0.41089743589743594,0.973006608386329,-2680.0,-0.4184113300699401,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,ga,3,-460.0,373.7311868174771,0.4057692307692308,0.9726119666867518,-2765.0,-0.4102939674665616,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,de,3,-496.6666666666667,580.9977051016066,0.408974358974359,0.9708324219359582,-2785.0,-0.47165967049831536,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,gwo,3,-571.6666666666666,247.80704859493673,0.38397435897435894,0.9671365429752372,-3180.0,-0.5034438430947505,520.0
