experiment,experiment_label,model,optimizer,seed,total_trades,total_profit_points,mean_trade_points,win_rate,profit_factor,max_drawdown_points,sharpe_ratio_annualized
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,random_search,1,520,-235.0,-0.4519230769230769,0.4153846153846154,0.9859827020578587,-2635.0,-0.20006936572464765
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,random_search,2,520,955.0,1.8365384615384615,0.41923076923076924,1.0599497802887634,-2320.0,0.7884742157672642
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,random_search,3,520,740.0,1.4230769230769231,0.4173076923076923,1.0469394227719633,-2705.0,0.6142962389683126
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,de,1,520,-4625.0,-8.89423076923077,0.38269230769230766,0.7366173120728929,-4890.0,-5.799161971674137
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,de,2,520,-2920.0,-5.615384615384615,0.42115384615384616,0.8100195185426154,-3180.0,-4.697442704465171
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,de,3,514,-11860.0,-23.073929961089494,0.3404669260700389,0.4615209988649262,-12400.0,-9.899113894928847
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,ga,1,517,-7615.0,-14.729206963249517,0.42359767891682787,0.6191547886971743,-9875.0,-4.6369140165215
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,ga,2,520,-2830.0,-5.4423076923076925,0.42115384615384616,0.8283808368708309,-3275.0,-3.4135903964706653
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,ga,3,520,-3600.0,-6.923076923076923,0.43653846153846154,0.792147806004619,-8370.0,-2.040339542515566
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,gwo,1,520,-4335.0,-8.336538461538462,0.38653846153846155,0.7500720668780628,-4575.0,-5.06558981609289
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,gwo,2,520,-5320.0,-10.23076923076923,0.3923076923076923,0.6922186867225918,-5385.0,-8.748980859036367
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,gwo,3,520,-2220.0,-4.269230769230769,0.4307692307692308,0.858508604206501,-2840.0,-3.492264121450485
