model_type,optimizer,metric,mean,std,median,min,max,ci_95_lower,ci_95_upper,n_seeds
rf,de,auc_roc,0.6872212138788238,0.0,0.6872212138788238,0.6872212138788238,0.6872212138788238,0.6872212138788238,0.6872212138788238,1
rf,de,auc_pr,0.6594934698104303,0.0,0.6594934698104303,0.6594934698104303,0.6594934698104303,0.6594934698104303,0.6594934698104303,1
rf,de,best_validation_fitness,0.4196841808682122,0.0,0.4196841808682122,0.4196841808682122,0.4196841808682122,0.4196841808682122,0.4196841808682122,1
rf,de,runtime_seconds,8.446806200001447,0.0,8.446806200001447,8.446806200001447,8.446806200001447,8.446806200001447,8.446806200001447,1
rf,gwo,f1,0.6662515566625156,0.0,0.6662515566625156,0.6662515566625156,0.6662515566625156,0.6662515566625156,0.6662515566625156,1
rf,gwo,mcc,0.2879091537564636,0.0,0.2879091537564636,0.2879091537564636,0.2879091537564636,0.2879091537564636,0.2879091537564636,1
rf,gwo,auc_roc,0.6871224133786462,0.0,0.6871224133786462,0.6871224133786462,0.6871224133786462,0.6871224133786462,0.6871224133786462,1
rf,gwo,auc_pr,0.6588423001264934,0.0,0.6588423001264934,0.6588423001264934,0.6588423001264934,0.6588423001264934,0.6588423001264934,1
rf,gwo,best_validation_fitness,0.4195966260886743,0.0,0.4195966260886743,0.4195966260886743,0.4195966260886743,0.4195966260886743,0.4195966260886743,1
rf,gwo,runtime_seconds,3.781215599999996,0.0,3.781215599999996,3.781215599999996,3.781215599999996,3.781215599999996,3.781215599999996,1
