experiment,experiment_label,model,optimizer,n,total_profit_mean,total_profit_std,win_rate_mean,profit_factor_mean,max_drawdown_mean,sharpe_mean,total_trades_mean
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,random_search,3,-1970.0,1210.4854398133007,0.4059995993589744,0.906159151347501,-3643.3333333333335,-1.5737524848348186,517.3333333333334
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,ga,3,-2195.0,245.0,0.4051282051282052,0.895442974378794,-3723.3333333333335,-1.7802638040579037,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,ga,3,-2216.6666666666665,568.8878038184096,0.4025641025641025,0.8949790048739921,-3801.6666666666665,-1.792252321492791,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,ga,3,-2228.3333333333335,664.253967495365,0.4070512820512821,0.8941728487086311,-3590.0,-1.8152576331158585,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,pso,3,-2256.6666666666665,886.0069600930533,0.4205128205128205,0.8914522468682659,-4050.0,-1.9138686068987782,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,random_search,3,-2316.6666666666665,476.3489617216913,0.4038461538461538,0.8902339165246248,-3793.3333333333335,-1.8892064764239613,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,pso,3,-2330.0,222.20486043288972,0.401923076923077,0.8897224500276648,-3898.3333333333335,-1.8904061284535905,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,pso,3,-2336.6666666666665,818.8762625289204,0.4019230769230769,0.8899051548135577,-3848.3333333333335,-1.9398299669054897,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,gwo,3,-2361.6666666666665,1319.254840178096,0.42243589743589743,0.8874812940441242,-4191.666666666667,-2.0650701518321415,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,de,3,-2418.3333333333335,79.73915809270461,0.4038461538461539,0.8863457892777712,-3958.3333333333335,-1.9498677325738656,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,de,3,-2445.0,275.0908940695784,0.4006410256410256,0.8848897218672183,-3970.0,-1.9555585377328162,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,pso,3,-2625.0,424.35244785437493,0.3974358974358974,0.8774308453687478,-3843.3333333333335,-2.0653942751163608,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,pso,3,-2626.6666666666665,151.18972628235474,0.4006410256410257,0.8773469210259216,-4063.3333333333335,-2.1419747937430405,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,de,3,-2628.3333333333335,255.4081700598737,0.40320512820512827,0.8774345111701555,-4025.0,-2.212620279481064,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,de,3,-2656.6666666666665,262.5039682239744,0.39807692307692305,0.8757615188625923,-3888.3333333333335,-2.095230132820364,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,random_search,3,-2663.3333333333335,32.5320354932385,0.40128205128205124,0.8752676194555856,-3668.3333333333335,-2.1066084382803862,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,gwo,3,-2665.0,161.16761461286197,0.3974358974358974,0.8751744240114473,-3955.0,-2.148977242881721,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,random_search,3,-2666.6666666666665,643.1433225443092,0.4166666666666667,0.872615537494252,-3921.6666666666665,-2.2897817806656495,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,pso,3,-2680.0,1435.3658070331758,0.4166666666666667,0.8728154134294073,-4243.333333333333,-2.400614358817055,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,gwo,3,-2698.3333333333335,70.76957915187376,0.3987179487179487,0.8736825206752656,-3978.3333333333335,-2.219993514381008,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,mlp,gwo,3,-2803.3333333333335,325.2050635112149,0.4006410256410257,0.8696908759877191,-4088.3333333333335,-2.3587848590983076,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,ga,3,-2890.0,314.80152477394387,0.41282051282051285,0.8621204283782572,-3988.3333333333335,-2.5017294124903047,520.0
