scope,metric,best_model_by_mean,comparison,n_blocks,mean_difference,median_difference,wilcoxon_p_value,holm_p_value,significant_0_05
exp2_holdout_accuracy,f1_test,mlp,mlp vs rf,15,0.03343738854022802,0.03406837608588964,6.103515625e-05,0.00018310546875,True
exp2_holdout_accuracy,f1_test,mlp,mlp vs svm,15,0.057590664122653804,0.04340427327558016,0.00030517578125,0.00030517578125,True
exp3_cv_accuracy,accuracy_test,mlp,mlp vs cnn,15,0.015891987605135,0.015272244355909681,0.0006500242387180628,0.0019500727161541884,True
exp3_cv_accuracy,accuracy_test,mlp,mlp vs rf,15,0.04324922532093843,0.04216467463479412,0.0006516660806139112,0.0019500727161541884,True
exp3_cv_accuracy,accuracy_test,mlp,mlp vs svm,15,0.060867640548915435,0.058100929614873786,0.0006533107814151377,0.0019500727161541884,True
exp3_cv_accuracy,mcc_test,mlp,mlp vs cnn,15,0.03185436072615824,0.03070838142759663,6.103515625e-05,0.00018310546875,True
exp3_cv_accuracy,mcc_test,mlp,mlp vs rf,15,0.08695624607519443,0.08490232604620121,6.103515625e-05,0.00018310546875,True
exp3_cv_accuracy,mcc_test,mlp,mlp vs svm,15,0.12189487484011653,0.11572031493655233,6.103515625e-05,0.00018310546875,True
exp3_cv_accuracy,f1_test,mlp,mlp vs cnn,15,0.012653189217119547,0.01344078841942209,0.0001220703125,0.000244140625,True
exp3_cv_accuracy,f1_test,mlp,mlp vs rf,15,0.03166058452429656,0.03160873445656798,6.103515625e-05,0.00018310546875,True
exp3_cv_accuracy,f1_test,mlp,mlp vs svm,15,0.02997688857793513,0.031884627066598004,0.0008544921875,0.0008544921875,True
