experiment,experiment_label,primary_metric,model,optimizer,seed,accuracy_test,balanced_accuracy_test,mcc_test,f1_test,auc_roc_test,auc_pr_test,reported_metric
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,svm,gwo,2,0.5733731739707836,0.5761504855118329,0.1588869753522963,0.5078513979318269,0.6147929489964471,0.5926584420504929,0.1588869753522963
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,svm,gwo,3,0.6430942895086321,0.6415612684396357,0.2869880170977649,0.6731529340224992,0.6950275560770025,0.6746460848055245,0.2869880170977649
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,svm,pso,1,0.5381806108897742,0.5460229490626082,0.1579584994831976,0.2344523940561365,0.6812969329942946,0.66580091423322,0.1579584994831976
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,svm,pso,2,0.6540504648074369,0.6547663522546583,0.3102016634145342,0.6453369639210347,0.7027666345418017,0.688540447295897,0.3102016634145342
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,svm,pso,3,0.6298140770252324,0.6339298119482444,0.295448869613324,0.5363825363825364,0.7039425369233788,0.6876536830520854,0.295448869613324
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,svm,random_search,1,0.4548472775564409,0.4479169193651185,-0.1495816839278521,0.6016496846191169,0.3281605684557349,0.40084445095023,-0.1495816839278521
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,svm,random_search,2,0.6301460823373174,0.6265041163199461,0.2738587354849249,0.6920950801547816,0.7002750094279495,0.678693201046935,0.2738587354849249
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mcc_test,svm,random_search,3,0.5833333333333334,0.5872399595094379,0.1905555827482442,0.4845995893223819,0.3510461164566788,0.4154490756521766,0.1905555827482442
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,de,1,0.6337981407702523,0.6333233356636725,0.2669932982913574,0.6468139609349984,0.6745736471719459,0.6465927065819634,0.6337981407702523
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,de,2,0.6367861885790173,0.6368944885640626,0.2737430994414871,0.6391820580474934,0.6743689889930068,0.6486475098466138,0.6367861885790173
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,de,3,0.6328021248339973,0.6324612571922574,0.2650909393577487,0.6434558349451966,0.6729639488442767,0.6467092376061097,0.6328021248339973
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,ga,1,0.6344621513944223,0.6343457444110454,0.2686817120547813,0.6410172807303554,0.6755678272049823,0.6493801044769375,0.6344621513944223
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,ga,2,0.6321381142098274,0.6319121204836813,0.2638829089567025,0.6407263294422828,0.6732080831159207,0.6478171269355686,0.6321381142098274
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,ga,3,0.6354581673306773,0.6352845696995627,0.2705920557670477,0.6430429128738622,0.6738798383023957,0.6495092373805051,0.6354581673306773
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,gwo,1,0.6361221779548473,0.6368442061666508,0.2743051806480507,0.6267029972752044,0.6773709363332223,0.652466458343989,0.6361221779548473
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,gwo,2,0.6367861885790173,0.6377259124160031,0.2765813442060959,0.6230186078566505,0.6785172867794786,0.6534143608374796,0.6367861885790173
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,gwo,3,0.6374501992031872,0.6380064352647214,0.2763421622961871,0.6313301823092505,0.6775041405789974,0.6531524591533646,0.6374501992031872
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,pso,1,0.6371181938911022,0.6370155632841463,0.2740151129736968,0.6433931484502446,0.6786513731725766,0.6535802808797355,0.6371181938911022
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,pso,2,0.6354581673306773,0.6353229431081138,0.2706458862162275,0.6423452768729642,0.6776796878962772,0.6536259016181309,0.6354581673306773
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,pso,3,0.6311420982735724,0.6308837572418782,0.2618520134608336,0.6403366785367433,0.6725597048335057,0.6481883014782678,0.6311420982735724
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,random_search,1,0.6377822045152722,0.6378844783973148,0.2757217139638446,0.6402901417738213,0.6757131609764488,0.6512203563773785,0.6377822045152722
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,random_search,2,0.6374501992031872,0.6370598911871277,0.2743570678717176,0.6488745980707395,0.6799273992753161,0.6561096928631599,0.6374501992031872
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,cnn,random_search,3,0.6341301460823373,0.6340072203758389,0.2680078210067392,0.6408083441981747,0.6760552136009476,0.6516336717235269,0.6341301460823373
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,de,1,0.651394422310757,0.6512906918019844,0.3025669708804992,0.6575342465753424,0.6949261091348561,0.6757124288868697,0.651394422310757
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,de,2,0.651394422310757,0.6513034829381681,0.3025861463989754,0.6573107049608355,0.6948749445901212,0.6755430069181478,0.651394422310757
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,de,3,0.6517264276228419,0.6516292158371908,0.3032407101197417,0.6577487765089722,0.6947382117550542,0.674899035029864,0.6517264276228419
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,ga,1,0.6520584329349269,0.6519933221447648,0.3039544700777315,0.657516339869281,0.6938849547568693,0.674516793695221,0.6520584329349269
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,ga,2,0.6517264276228419,0.6514501399306192,0.3030248062549157,0.6608470740381507,0.6935620888366462,0.6734039231002391,0.6517264276228419
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,ga,3,0.6444223107569721,0.6438874909304229,0.2882599988465904,0.6581551228854133,0.6864967503897987,0.6649718312240719,0.6444223107569721
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,gwo,1,0.651062416998672,0.6508370475411247,0.3017469721041733,0.6593192868719611,0.6939098754187443,0.6746725495411495,0.651062416998672
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,gwo,2,0.6520584329349269,0.6518909930552952,0.3038077155037405,0.659297789336801,0.6938906887144687,0.6735028418539027,0.6520584329349269
