date,daily_return_points,experiment,experiment_label,model,optimizer,seed
2024-06-13,975.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-14,85.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-18,-735.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-19,355.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-20,2190.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-21,550.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-24,60.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-25,-390.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-26,-1005.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-27,1755.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-06-28,680.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,de,3
2024-05-20,-590.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-05-21,-150.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-05-22,475.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-05-23,-210.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-05-24,2565.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-05-27,135.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-05-28,4290.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-05-29,370.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-05-31,-1080.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-03,1065.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-04,885.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-05,520.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-06,140.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-07,165.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-10,85.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-12,6655.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-13,1015.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-14,1685.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-18,1045.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-19,715.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-20,1830.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-21,2410.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-24,-50.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-25,-270.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-26,-1095.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-27,2215.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-06-28,910.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,1
2024-05-20,-40.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-05-21,260.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-05-22,735.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-05-23,-270.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-05-24,2645.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-05-27,195.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-05-28,4440.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-05-29,1090.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-05-31,-660.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-03,1465.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-04,605.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
