experiment,experiment_label,model,optimizer,n,reported_metric_mean,reported_metric_std,accuracy_mean,accuracy_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_pr_mean
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,pso,3,0.634572819831784,0.0030848516743617244,0.634572819831784,0.0030848516743617244,0.26883767088358596,0.006279926707920501,0.6420250346199841,0.0015531961912393017,0.6762969219674532,0.6517981613253782
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,cnn,random_search,3,0.6364541832669323,0.002019509472210563,0.6364541832669323,0.002019509472210563,0.27269553428076715,0.0041166195529599775,0.6433243613475784,0.004813624331051982,0.6772319246175709,0.6529879069880218
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,de,3,0.6515050907481186,0.00019168335630467248,0.6515050907481186,0.00019168335630467248,0.3027979424664054,0.00038356788350677525,0.6575312426817167,0.00021905122198794127,0.6948464218266772,0.6753848236116271
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,ga,3,0.649402390438247,0.00431606905710491,0.649402390438247,0.00431606905710491,0.29841309172641256,0.008805114421492979,0.6588395122642817,0.001767693169741239,0.6913145979944381,0.6709641826731773
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,gwo,3,0.6517264276228419,0.0005750500689139694,0.6517264276228419,0.0005750500689139694,0.30313195978348645,0.0011995512988313365,0.6591570809584762,0.00026255158948553604,0.6942533982887812,0.6745364097166425
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,pso,3,0.6522797698096503,0.00038336671260932095,0.6522797698096503,0.00038336671260932095,0.3043262083862915,0.0007459201028934194,0.6585520737734307,0.0006714393097089354,0.6945698686409124,0.6748024826237096
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,mlp,random_search,3,0.648738379814077,0.004079749577504813,0.648738379814077,0.004079749577504813,0.2973055746728867,0.007755344139359118,0.6552202898896361,0.00866488442969512,0.6883499948908968,0.6648431400759698
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,de,3,0.6004869411243914,0.0006911241698094769,0.6004869411243914,0.0006911241698094769,0.20008833714531105,0.0013893073893496658,0.6214346974507705,0.0004644390175330884,0.6383880374942016,0.6298292906738562
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,ga,3,0.6107791057990261,0.0022106003049400472,0.6107791057990261,0.0022106003049400472,0.22076061286916407,0.004438622134437609,0.6305296885445794,0.0016794301928959165,0.6445820349227422,0.6347181551303608
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,gwo,3,0.6023683045595396,0.005904967495331611,0.6023683045595396,0.005904967495331611,0.20387813353542417,0.011863531242344823,0.6219897244384699,0.005321362589299582,0.639953922504828,0.6323425827022892
