experiment,model,optimizer,value,mcc_test,f1_test,accuracy_test,runtime_minutes
exp1_mcc_accuracy,mlp,ga,0.6455289951305887,0.29047699422591383,0.6595084029081505,0.6455289951305887,5.922916402298392
exp1_mcc_accuracy,mlp,gwo,0.6525011066843737,0.30466799293839375,0.6600995025421947,0.6525011066843737,5.255245854700258
exp1_mcc_accuracy,mlp,pso,0.6496237273129704,0.2988480309347601,0.6582491342577702,0.6496237273129704,4.888062205983379
exp1_mcc_accuracy,mlp,random_search,0.5531208499335989,0.10633349205945869,0.5567717064870403,0.5531208499335989,6.234158753433337
exp1_mcc_accuracy,rf,de,0.6460823373173971,0.2917295392155801,0.6618303751714704,0.6460823373173971,265.27468400481104
exp1_mcc_accuracy,rf,ga,0.6465250110668438,0.29291234240283975,0.6694296562184437,0.6465250110668438,112.99211379796522
exp1_mcc_accuracy,rf,gwo,0.6443116423196105,0.28843638040838787,0.6672101794901687,0.6443116423196105,154.01330318836608
exp1_mcc_accuracy,rf,pso,0.6466356795042053,0.2928654319348092,0.6615704316836277,0.6466356795042053,242.92069737024477
exp1_mcc_accuracy,rf,random_search,0.6404382470119522,0.2805820291260706,0.6624556010014145,0.6404382470119522,256.94053252684927
exp1_mcc_accuracy,svm,de,0.5976095617529881,0.18700833283179744,0.674635765833362,0.5976095617529881,13.617234138751883
exp1_mcc_accuracy,svm,ga,0.6440903054448871,0.28984121981688793,0.676957956706255,0.6440903054448871,845.4419114109706
exp1_mcc_accuracy,svm,gwo,0.6126604692341745,0.2315902875884465,0.5918663088496402,0.6126604692341745,8.643837485117047
exp1_mcc_accuracy,svm,pso,0.6073483842408146,0.2545363441703519,0.4720572981199025,0.6073483842408146,2195.1354693902363
exp1_mcc_accuracy,svm,random_search,0.5561088977423639,0.10494421143510567,0.5927814513654268,0.5561088977423639,1267.9911659706652
exp2_holdout_accuracy,cnn,de,0.6344621513944223,0.2686091123635311,0.6431506179758962,0.6344621513944223,8.471005231576177
exp2_holdout_accuracy,cnn,ga,0.6340194776449756,0.2677188922595105,0.6415955076821668,0.6340194776449756,19.42149823934942
exp2_holdout_accuracy,cnn,gwo,0.6367861885790173,0.27574289571677785,0.6270172624803685,0.6367861885790173,10.766202970482118
exp2_holdout_accuracy,cnn,pso,0.634572819831784,0.26883767088358596,0.6420250346199841,0.634572819831784,12.358268535016517
exp2_holdout_accuracy,cnn,random_search,0.6364541832669323,0.2726955342807671,0.6433243613475784,0.6364541832669323,12.76181248486452
exp2_holdout_accuracy,mlp,de,0.6515050907481186,0.3027979424664054,0.6575312426817167,0.6515050907481186,6.221183418432847
exp2_holdout_accuracy,mlp,ga,0.649402390438247,0.2984130917264125,0.6588395122642816,0.649402390438247,7.860481041034766
exp2_holdout_accuracy,mlp,gwo,0.6517264276228419,0.30313195978348645,0.6591570809584762,0.6517264276228419,6.29488136900005
exp2_holdout_accuracy,mlp,pso,0.6522797698096503,0.3043262083862915,0.6585520737734307,0.6522797698096503,6.3298170044667135
exp2_holdout_accuracy,mlp,random_search,0.648738379814077,0.29730557467288676,0.6552202898896361,0.648738379814077,7.113078452350034
exp2_holdout_accuracy,rf,de,0.6004869411243914,0.20008833714531102,0.6214346974507706,0.6004869411243914,643.4006856722339
exp2_holdout_accuracy,rf,ga,0.6107791057990261,0.22076061286916407,0.6305296885445794,0.6107791057990261,243.3926710391218
exp2_holdout_accuracy,rf,gwo,0.6023683045595396,0.20387813353542417,0.6219897244384699,0.6023683045595396,479.84628370671675
exp2_holdout_accuracy,rf,pso,0.6043603364320496,0.20787696586312074,0.624039338273665,0.6043603364320496,515.4554357239168
exp2_holdout_accuracy,rf,random_search,0.6043603364320496,0.20787320028496004,0.6241198081589165,0.6043603364320496,273.53606497641687
exp2_holdout_accuracy,svm,de,0.5841080123948649,0.16725883090615482,0.6241379450755161,0.5841080123948649,15.950832590069574
exp2_holdout_accuracy,svm,ga,0.5565515714918104,0.12389829099606146,0.499878280454936,0.5565515714918104,20.255931335869597
exp2_holdout_accuracy,svm,gwo,0.5931828242585215,0.18554942569068308,0.62292408159193,0.5931828242585215,11.779990775266196
exp2_holdout_accuracy,svm,pso,0.5709384683488269,0.1453376733955072,0.6271609227058647,0.5709384683488269,25.360246155284404
exp2_holdout_accuracy,svm,random_search,0.5876494023904383,0.17491594140975683,0.6272456491260257,0.5876494023904383,13.117082001548988
exp3_cv_accuracy,cnn,de,0.6333554670208056,0.2662076209416793,0.6439483330982781,0.6333554670208056,22.099283140815412
exp3_cv_accuracy,cnn,ga,0.6364541832669323,0.2725638355587263,0.65371076993903,0.6364541832669323,29.681096797950524
exp3_cv_accuracy,cnn,gwo,0.6312527667109341,0.2620625351089786,0.6407905452898027,0.6312527667109341,17.41356184493343
exp3_cv_accuracy,cnn,pso,0.6340194776449756,0.26771686669225614,0.6416741159046945,0.6340194776449756,18.676625906781677
exp3_cv_accuracy,cnn,random_search,0.6343514829570607,0.26813093214724043,0.6476600116472658,0.6343514829570607,24.07320453893226
exp3_cv_accuracy,mlp,de,0.6505090748118637,0.30068794761853285,0.6582952242956535,0.6505090748118637,8.252104106370734
exp3_cv_accuracy,mlp,ga,0.6489597166888004,0.29747572133783035,0.6587717880870775,0.6489597166888004,8.989638534782785
exp3_cv_accuracy,mlp,gwo,0.6515050907481186,0.3027626395705091,0.6579753126751082,0.6515050907481186,9.401636662666744
