experiment,experiment_label,model,optimizer,seed,budget,best_fitness_at_budget,progress_to_final_at_budget,runtime_minutes_at_budget
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,1,100,0.400836621438275,0.833744100547705,0.44326094578342834
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,1,250,0.4033451762229485,0.8983656668020622,1.0239794328000547
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,1,500,0.4072905354522074,1.0,2.229274616433243
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,1,1000,0.4072905354522074,1.0,4.4363431930995825
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,2,50,0.4042469599603073,0.6327495155385697,0.20311985231661914
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,2,100,0.4042469599603073,0.6327495155385697,0.4078726986165141
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,2,250,0.4064193104456622,0.8248457145272853,1.0348411008664091
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,2,500,0.4064193104456622,0.8248457145272853,2.1628785336829726
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,2,1000,0.4084000706015724,1.0,4.355148438732976
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,3,50,0.4011663084786831,0.7253440011641062,0.19873228724988315
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,3,100,0.4049265043363271,0.9927785212082161,0.4015589848331728
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,3,250,0.4049265043363271,0.9927785212082161,1.0334931538331147
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,3,500,0.4049265043363271,0.9927785212082161,2.157711933233137
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,cnn,random_search,3,1000,0.4050280401239825,1.0,4.323462141499536
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,1,50,0.4192571845893251,0.20167943865627114,0.07025751106667709
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,1,100,0.424907474866143,0.7893559432725877,0.14191937813335084
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,1,250,0.4269327388612953,1.0,0.46671986650004915
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,1,500,0.4269327388612953,1.0,0.8841311115669211
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,1,1000,0.4269327388612953,1.0,1.699197247967504
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,2,50,0.4254375334747813,0.9131955240237918,0.07635875353331582
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,2,100,0.4257222519609825,0.9201845050331006,0.17227514879998196
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,2,250,0.4280844912820853,0.9781703631869072,0.4404917823333068
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,2,500,0.428973791330185,1.0,0.9567680947666641
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,2,1000,0.428973791330185,1.0,2.370823237583715
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,3,50,0.422096727589582,0.9240764820682241,0.13839025681665282
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,3,100,0.4263273646988645,0.9876857181693446,0.24853075074999342
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,3,250,0.4271463850311338,1.0,0.5331686483833397
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,3,500,0.4271463850311338,1.0,1.0812723641500077
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,3,1000,0.4271463850311338,1.0,1.9337906759007857
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,1,50,0.4236091404350429,0.9743547081203752,0.14135018374997227
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,1,100,0.4236091404350429,0.9743547081203752,0.3015573674332434
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,1,250,0.4236091404350429,0.9743547081203752,0.7692279217497248
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,1,500,0.4236091404350429,0.9743547081203752,1.5451693169827647
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,1,1000,0.4239886294505813,1.0,2.479562751549341
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,2,50,0.426345069393002,1.0,0.07012006464998798
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,2,100,0.426345069393002,1.0,0.12411524353328023
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,2,250,0.426345069393002,1.0,0.2876999963998248
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,2,500,0.426345069393002,1.0,0.5625000388996131
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,2,1000,0.426345069393002,1.0,1.1169883417158737
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,3,50,0.4165297656902371,0.8839639653646877,0.18873719589999682
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,3,100,0.4197943958879416,0.9103375485008564,0.4277185896333321
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,3,250,0.4197943958879416,0.9103375485008564,1.1083892270833529
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,3,500,0.4259975025737108,0.9604498552468669,1.5885924387501513
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,3,1000,0.4308931815649963,1.0,2.326365309033176
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,1,50,0.4257693889745601,0.705261874372674,0.09907337671666783
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,1,100,0.4257693889745601,0.705261874372674,0.2064842442666531
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,1,250,0.4257693889745601,0.705261874372674,0.45940802010001847
