experiment,experiment_label,model,optimizer,seed,first_fitness,best_fitness,total_evaluations,total_runtime_minutes,eval_to_95pct_final,time_to_95pct_final_minutes,auc_progress
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,de,3,0.360636592293535,0.4271463850311338,1000,1.9337906759007857,52,0.14280432369998453,0.9909934871880153
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,1,0.4091910199197684,0.4239886294505813,1000,2.479562751549341,12,0.030420970683330013,0.9761722380110183
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,2,0.373490090943546,0.426345069393002,1000,1.1169883417158737,39,0.05844008638332522,0.9937727011553129
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,ga,3,0.307109083634541,0.4308931815649963,1000,2.326365309033176,392,1.415714541583389,0.952805933400952
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,1,0.4173181120514199,0.4293012877060767,1000,1.7300386388333657,879,1.5371166775000302,0.7988536408021079
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,2,0.388235594184995,0.4281958847471513,1000,1.8473729199334792,412,0.8307801046833558,0.9507816501692026
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,3,0.360636592293535,0.4279245771271534,1000,1.6778342959334123,36,0.06073287946668413,0.981145742492187
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,1,0.4173181120514199,0.4275997414089792,1000,1.6713878942500602,162,0.3035520177166763,0.9238037318555579
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,2,0.388235594184995,0.4267058061482445,1000,1.5435185180499913,142,0.17829613170000008,0.9598664647848419
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,3,0.360636592293535,0.428973791330185,1000,1.6731557936833281,62,0.11863263441666348,0.9820781830746081
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,1,0.4091910199197684,0.4358607931230995,1000,2.076960044916667,447,0.9184027139499984,0.8926304992817966
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,2,0.373490090943546,0.4343459116259165,1000,2.0574030904166674,909,1.8647653668500035,0.9293219629427039
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,random_search,3,0.307109083634541,0.4358199090498525,1000,2.0997956181000026,678,1.4532757421666764,0.9468161633318005
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,1,0.3989583639513947,0.4199413137851664,1000,160.51520444248132,21,1.5719702574666372,0.9895450982374452
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,2,0.3987699196739509,0.4243948794614969,1000,26.338907928562765,175,5.96362276034982,0.9678837309908144
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,3,0.4022398640163851,0.4225605519313082,1000,78.42057163376694,370,46.84287814736669,0.9462159252882705
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,1,0.4018992724481556,0.4197825061213807,1000,18.400875445274142,595,11.454386980521182,0.8618588842560349
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,2,0.3928101731931146,0.4170517364704259,1000,41.60686387650958,696,25.155267318205063,0.9446265299530558
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,3,0.4116065632123993,0.4157401268488981,1000,52.9843744761815,209,13.618547183163749,0.7922922922922923
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,1,0.3989583639513947,0.425330791645088,1000,42.720839961832766,296,17.31705262230001,0.9390580939430675
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,2,0.3987699196739509,0.4210222203407884,1000,60.028093653099496,69,3.52308159673333,0.9774866199095111
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,3,0.4022398640163851,0.4233754481269407,1000,51.26436957343382,140,6.846676216249883,0.9598451708224006
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,1,0.3989583639513947,0.4214655918521407,1000,23.57538131407767,35,1.9276149791000232,0.984550353822423
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,2,0.3987699196739509,0.4227524779319299,1000,41.614366500898996,175,5.585874444966643,0.9697585172554846
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,3,0.4022398640163851,0.4204013975352927,1000,177.7309495552681,61,7.57582278263335,0.9783012348206556
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,random_search,1,0.4081074981703636,0.4189866589776466,1000,87.12354835968186,301,26.54463443559968,0.9259547935273499
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,random_search,2,0.3983177829087202,0.4207699027005145,1000,85.82112281950073,619,55.57373753226778,0.878889614963625
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,random_search,3,0.409011216998372,0.4206495240658876,1000,83.99586134766669,776,65.83045412965002,0.6685676837529556
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,de,1,0.2415186747857823,0.4281156784289721,1000,5.397875297983196,5,1.2921753299666459,0.9980591988368143
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,de,2,0.3803071167015543,0.4488860733177172,1000,4.1689941816647655,171,0.7612069429665855,0.972352272857112
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,de,3,0.2766891157940473,0.4351915092327926,1000,4.050364659103918,53,0.2109234832500533,0.9927942400829176
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,ga,1,0.428042852404086,0.4289440598729244,1000,418.92754252712695,815,367.1613042030704,0.1856856856856857
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,ga,2,0.4227923661735978,0.4279702358330778,1000,189.66280337178407,780,143.94152097136842,0.7661293207645348
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,ga,3,0.400422337507737,0.4275541695372213,1000,236.8515655120596,3,0.7762171550499867,0.9963806639406128
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,gwo,1,0.2415186747857823,0.4541257904237485,1000,4.134479403283467,75,0.28767756463334987,0.9743479148072027
